iso_a3,date,currency_code,name,local_price,dollar_ex,dollar_price,iso_numeric,usd_raw,eur_raw,gbp_raw,jpy_raw,cny_raw,gdp_dollar,adj_price,usd_adjusted,eur_adjusted,gbp_adjusted,jpy_adjusted,cny_adjusted
JPN,2020-01-14,JPY,Japan,390.0,108.6575,3.589840977298485,392,,,,,,,,,,,,
KOR,2020-01-14,KRW,South Korea,4500.0,1178.525,3.819715224942355,410,,,,,,,,,,,,
KWT,2020-01-14,KWD,Kuwait,1.125,0.3056,3.68088456449603,414,,,,,,,,,,,,
LBN,2020-01-14,LBP,Lebanon,7750.0,1513.0,5.122821916084795,422,,,,,,,,,,,,
LKA,2020-01-14,LKR,Sri Lanka,630.0,183.64999999999998,3.42766876667517,144,,,,,,,,,,,,
MDA,2020-01-14,MDL,Moldova,46.0,17.247500000000002,2.6678999416701803,498,,,,,,,,,,,,
MEX,2020-01-14,MXN,Mexico,50.0,20.62825,2.44261939995378,484,,,,,,,,,,,,
MYS,2020-01-14,MYR,Malaysia,9.745000000000001,4.17,2.33681053984588,458,,,,,,,,,,,,
NIC,2020-01-14,NIO,Nicaragua,120.0,34.12575,3.516594131996655,558,,,,,,,,,,,,
NOR,2020-01-14,NOK,Norway,52.5,9.1231,5.76036735127903,578,,,,,,,,,,,,
NZL,2020-01-14,NZD,New Zealand,6.55,1.5156711994066598,4.32147999999999,554,,,,,,,,,,,,
OMN,2020-01-14,OMR,Oman,1.1275,0.385025,2.9283766486727147,512,,,,,,,,,,,,
PAK,2020-01-14,PKR,Pakistan,535.0,160.6875,3.3304248558485847,586,,,,,,,,,,,,
PER,2020-01-14,PEN,Peru,11.9,3.4124499999999998,3.4893879308684648,604,,,,,,,,,,,,
PHL,2020-01-14,PHP,Philippines,142.0,50.003,2.84020779985631,608,,,,,,,,,,,,
POL,2020-01-14,PLN,Poland,11.0,3.870025,2.84338241786316,616,,,,,,,,,,,,
QAT,2020-01-14,QAR,Qatar,13.0,3.641,3.57044767920901,634,,,,,,,,,,,,
ROU,2020-01-14,RON,Romania,9.7,4.279125,2.267071961533235,642,,,,,,,,,,,,
RUS,2020-01-14,RUB,Russia,135.0,66.00874999999999,2.0550607694575302,643,,,,,,,,,,,,
SAU,2020-01-14,SAR,Saudi Arabia,13.5,3.7514250000000002,3.598645878807435,682,,,,,,,,,,,,
SGP,2020-01-14,SGD,Singapore,5.9,1.367375,4.31578101627849,702,,,,,,,,,,,,
SWE,2020-01-14,SEK,Sweden,52.05,9.29875,5.60021181068759,752,,,,,,,,,,,,
THA,2020-01-14,THB,Thailand,121.5,30.83125,3.9382906879354946,764,,,,,,,,,,,,
TUR,2020-01-14,TRY,Turkey,13.49,6.369875,2.124298501150345,792,,,,,,,,,,,,
TWN,2020-01-14,TWD,Taiwan,72.0,29.670499999999997,2.426778979096,158,,,,,,,,,,,,
